class	num_samples
 A	1383
 I	1383
 U	1383
 E	1383
 O	1383
KA	1383
KI	1383
KU	1383
KE	1383
KO	1383
SA	1383
SI	1383
SU	1383
SE	1383
SO	1383
TA	1383
TI	1383
TU	1383
TE	1383
TO	1383
NA	1383
NI	1383
NU	1383
NE	1383
NO	1383
HA	1383
HI	1383
HU	1383
HE	1383
HO	1383
MA	1383
MI	1383
MU	1383
ME	1383
MO	1383
YA	1383
YU	1383
YO	1383
RA	1383
RI	1383
RU	1383
RE	1383
RO	1383
WA	1383
WO	1383
 N	1383
,,	1383
,0	1383
(K	1383
)K	1383
0 	1383
1 	1383
2 	1383
3 	1383
4 	1383
5 	1383
6 	1383
7 	1383
8 	1383
9 	1383
+ 	1383
- 	1383
A 	1383
B 	1383
C 	1383
D 	1383
E 	1383
F 	1383
G 	1383
H 	1383
I 	1383
J 	1383
K 	1383
L 	1383
M 	1383
N 	1383
O 	1383
P 	1383
Q 	1383
R 	1383
S 	1383
T 	1383
U 	1383
V 	1383
W 	1383
X 	1383
Y 	1383
Z 	1383
= 	1383
* 	1383
=(	1383
=)	1383
( 	1383
) 	1383
((	1383
))	1383
. 	1383
, 	1383
..	1383
.,	1383
' 	1383
''	1383
.7	1383
$Y	1383
$S	1383
/0	1383
# 	1383
@ 	1383
-6	1383
++	1383
=X	1383
+1	2766
/X	1383
/ 	1383
